,name,enrolled,passed
0,Administrace systému UNIX [12AUX],11,7
1,Alternativní energetické zdroje [17AEZ],7,5
2,Analytické měřicí metody [16AMM],7,2
3,Analýza čtená podruhé [01MADR],20,16
4,Analýza experimentálních dat 2 [14AED2],9,9
5,Analýza signálu [01ASIG],7,0
6,Anglický jazyk začátečníci [818A0],4,0
7,Angličtina M2 [04AM2],72,52
8,Angličtina P2 [04AP2],97,87
9,Angličtina 4 [818AJ4],3,3
10,Anorganická chemie 2 [15AN2],17,7
11,Aplikace ionizujícího záření v analytických metodách [16APLB],4,0
12,Aplikace ionizujícího záření ve vědě a technice [16APLV],6,5
13,Aplikace ioniz.záření ve vědě a technice [16APL],4,0
14,Aplikace jazykového systému [04ABA],17,10
15,Aplikace MATLABu [18AMTL],18,6
16,Aplikace radiačních metod [15APRM],3,1
17,Aplikace radionuklidů 2 [15NUK2],4,4
18,Aplikace statistických metod [01ASM],18,8
19,Astrofyzika [12ASF],10,7
20,Athens [00ATH1],13,10
21,Atomová legislativa [17ALE],12,9
22,Bakalářská práce 2 [818BPSE2],12,8
23,Bayesovské principy ve statistice [01BAPS],1,1
24,Bezpečnost jaderných zařízení [16BJZ],2,1
25,Bezpečnostní sytémy jaderných reaktorů [17BES],18,15
26,Cvičení na simulátoru [17CSI],5,4
27,Chemické aspekty pevných látek [11CHA],1,0
28,Chemie [15CHB],14,13
29,Chemie analytická - seminář 1 [15ANLSN1],10,5
30,Chemie analytická 1 [15ANL1],10,5
31,Chemie léčiv [15CHL1],6,3
32,Čeština pro cizince mírně pokročilí 2 [04CESM2],38,31
33,Čeština pro cizince pokročilí 2 [04CESP2],2,0
34,Číslicové bezpečnostní systémy [17CIBS],1,0
35,Dějiny fyziky 1 [818DEF1],14,13
36,Dějiny fyziky 2 [02DEF2],169,132
37,Dějiny matematiky [01DEM],22,19
38,Dekompozice databazových systémů [18DATS],33,24
39,Detekce ionizujícího záření [15CZVDIZ],1,1
40,Detekce ionizujícího záření [15DIZ],13,11
41,Detektory ionizujícího záření [16DETE],24,21
42,Deterministické metody v reaktorové fyzice [17DERF],7,3
43,Diferenciální rovnice [01DIFR],39,31
44,Difrakční metody strukturní biologie [11DMSB],1,1
45,Diskretní matematika 2 [01DIM2],85,57
46,Diskrétní matematika 2 [818DIM2],8,6
47,Dozimetrie a radioaktivita životního prostř. [16DRZP],3,3
48,Dozimetrie vnitřních zářičů [16DZAR],1,1
49,Dynamika lineárních soustav [14DYLS],2,2
50,Dynamika reaktorů [17DYR],17,9
51,Ekonometrie [18EKONS],24,18
52,Ekonometrie [818EKON],11,7
53,Ekonomie pro techniky [00EKOT],32,27
54,Elastomechanika 1 [14EME1],2,2
55,Elektrodynamika 1 [12ELDY1],2,1
56,Elektrodynamika 2 [12ELDY2],17,15
57,Elektronika experimentálních aparatur [11ELEA],1,0
58,Elektronová mikroskopie [14ELMI],6,6
59,Elektřina a magnetismus [02ELMA],240,114
60,Energetika a energetické zdroje [17EEZ],15,2
61,Evropský standard počítačové gramotnosti 1 [818ESPG1],14,12
62,Evropský standard počítačové gramotnosti 2 [18ESPG2],14,8
63,Exkurze [02EXK],9,8
64,Exkurze [16EX],9,9
65,Exkurze [17EXK],28,13
66,Exkurze 1 [15EXK1],8,8
67,Exkurze 2 [15EXK2],6,6
68,Experimentální fyzika 1 [02EXF1],134,104
69,Experimentální fyzika 3 [02EXF3],10,1
70,Experimentální metody subjaderné fyziky [02EMSF],9,8
71,Experimentální metody 2 [14EXM2],8,8
72,Experimentální neutronová fyzik [17ENF],12,11
73,Experimentální reaktorová fyzika [17ERF],16,13
74,Experimentální reaktorová fyzika na školním reaktoru VR-1 [17CZVEXRF2],0,0
75,Extrémní stavy hmoty [02ESH],3,0
76,Fázové přechody v PL [11FPPL],1,1
77,Fraktografie a analýza poruch [14FAP],4,4
78,Francouzština M2 [04FM2],17,14
79,Francouzština P2 [04FP2],6,6
80,Francouzština Z1 [04FZ1],24,13
81,Francouzština Z3 [04FZ3],19,17
82,Francouzština Z5 [04FZ5],17,16
83,Fulltextové systémy [18FULS],9,9
84,Funkcionální analýza 2 [01FA2],17,17
85,Fyzika a lidské poznání [12FLP],20,14
86,Fyzika atomového jádra [02FAJ],10,9
87,Fyzika dielektrik [11DIEL],3,1
88,Fyzika kovů 2 [14FKO2],3,3
89,Fyzika laserů [12FLA],7,7
90,Fyzikální chemie 4 [15FCHN4],6,6
91,Fyzikální metalurgie 2 [14FYM2],8,7
92,Fyzikální optika 1 [12FOPT1],1,1
93,Fyzikální optika 2 [12FOPT2],13,9
94,Fyzikální seminář 2 [02FYS2],20,5
95,Fyzika magnetických látek [11MAGN],2,2
