,name,enrolled,passed
0,Algebra [01ALGE],14,7
1,Algebraické struktury v teoretické informatice [01ALTI],3,3
2,Analogová elektronika [11ANEL],1,1
3,Analytická chemie 2 [15ANAL2],15,8
4,Analytika odpadů [15AODP],1,0
5,Anglický jazyk 1 [818A1],2,2
6,Anglický jazyk 3 [818A3],8,7
7,Anglický jazyk pokročilí - zkouška [818APZK],7,7
8,Angličtina M1 [04AM1],75,48
9,Angličtina M3 [04AM3],32,21
10,Angličtina M zkouška [04AMZK],35,19
11,Angličtina P1 [04AP1],82,76
12,Angličtina P3 [04AP3],59,57
13,Angličtina P zkouška [04APZK],72,68
14,Anorganická chemie 1 [15ANCH1],31,8
15,Aplikace ionizujícího záření v medicíně [16AIZM],6,5
16,Aplikace laserů [12APL],1,0
17,Aplikace MATLABu [18AMTL],1,1
18,Aplikace radionuklidů 1 [15NUK1],4,3
19,Aplikace SQL [18SQL],21,11
20,Aplikovaná ekonometrie a teorie časových řad [18AEK],12,10
21,Asistivní technologie [01ASTE],9,9
22,Atomová a molekulová fyzika [02AMF],6,4
23,Atomová fyzika [12AF],3,1
24,AutoCAD [02ACD],1,1
25,Bakalářská práce 1 [818BPSE1],8,0
26,Bakalářská práce 2 [818BPSE2],2,2
27,Bayesovské principy ve statistice [01BAPS],14,9
28,Bezpečnost a zabezpečení jaderných zařízení a jaderných materiálů pro zahraniční studenty [17ZBZJZ],11,11
29,Bezpečnostní sytémy jaderných reaktorů [17BES],6,6
30,Biochemie a farmakologie [16BAF],9,6
31,Business Intelligence [18BI],4,0
32,Čeština pro cizince mírně pokročilí 1 [04CESM1],55,23
33,Čeština pro cizince mírně pokročilí 3 [04CESM3],13,8
34,Čeština pro cizince mírně pokročilí - zkouška [04CESMZK],11,6
35,Číslicové bezpečnostní systémy [17CIBS],5,5
36,Chemické aspekty pevných látek [11CHA],1,1
37,Chemie prostředí a radioekologie [15RAEK],8,8
38,Chemie provozu JE [15CHJE],5,4
39,Chemie radioaktivních prvků [15CHRP],8,4
40,Cizí jazyk - němčina 3 [15JZ3N],75,68
41,Coxeterovy grupy [02COX],4,4
42,Databáze [818DB],5,4
43,Dějiny alchymie a chemie [15DALCH],5,0
44,Dějiny fyziky 1 [02DEF1],264,199
45,Detekce záření [17DEZ],13,13
46,Diferenciální rovnice a chaos [01DRCH],1,0
47,Diferenciální rovnice na počítači [12DRP],5,3
48,"Diferenciální rovnice, symetrie a grupy [02DRG]",3,2
49,Diskretní matematika 1 [01DIM1],91,62
50,Diskrétní matematika 1 [818DIM1],5,2
51,Diskrétní matematika 3 [01DIM3],16,14
52,Dozimetrie a radiační ochrana [16DRH],11,6
53,Dozimetrie neutronů [16DNEU],1,1
54,Dráhový integrál [02DRI],5,2
55,Dynamické rozhodování 2 [01DRO2],5,0
56,Ekonomické hodnocení JE [17EHJE],2,2
57,Elastomechanika 2 [14EME2],1,0
58,Elektrická zařízení jaderných elektráren [17ELZ],9,9
59,Elektrodynamika 1 [12ELDY1],15,13
60,Elektronika 3 [12EL3],10,7
61,Elektronika pro lasery [12ELA],1,1
62,Elementary Introduction to Graph Theory [01EIGR],8,5
63,Etika ve zdravotnictví [16EZ],13,12
64,Evropský standard počítačové gramotnosti 1 [18ESPG1],25,10
65,Exaktní metody při studiu památek [16EPAM],4,1
66,Exkurze na optické pracoviště [12EOP],1,0
67,Experimentální fyzika 2 [02EXF2],43,16
68,Experimentální metody jaderné fyziky [02EMJF],9,8
69,Experimentální reaktorová fyzika A [17ZERFA],8,7
70,Finanční a pojistná matematika [01FIMA],19,14
71,Francouzština M1 [04FM1],13,13
72,Francouzština M3 [04FM3],11,9
73,Francouzština M zkouška [04FMZK],12,8
74,Francouzština P1 [04FP1],1,0
75,Francouzština P3 [04FP3],4,4
76,Francouzština P zkouška [04FPZK],5,4
77,Francouzština Z2 [04FZ2],13,12
