,name,enrolled,passed
0,Administrace systému UNIX [12AUX],5,2
1,Alternativní energetické zdroje [17AEZ],14,14
2,Analytická chemie 1 [15ANAL1],21,15
3,Analytické měřicí metody [16AMM],12,11
4,Analytické metody využívající ionizující záření [D16AMIZ],3,2
5,Analýza čtená podruhé [01MADR],21,18
6,Analýza experimentálních dat 2 [14AED2],3,2
7,Anglický jazyk začátečníci [818A0],3,0
8,Anglický jazyk 2 [818A2],10,9
9,Angličtina M2 [04AM2],53,33
10,Angličtina P2 [04AP2],79,67
11,Angličtina - státní zkouška [04ABZK],5,3
12,Anorganická chemie 2 [15ANCH2],18,7
13,Anorganické praktikum [15ANP],20,15
14,Aperiodické struktury 2 [01APST2],6,6
15,Aplikace ionizujícího záření v analytických metodách [16APLB],3,0
16,Aplikace ionizujícího záření ve vědě a technice [16APLV],13,12
17,Aplikace jazykového systému [04ABA],10,6
18,Aplikace MATLABu [18AMTL],18,12
19,Aplikace radiačních metod [15APRM],9,8
20,Aplikace radionuklidů 2 [15NUK2],5,5
21,Aplikace statistických metod [01ASM],7,3
22,Aplikovaná kvantová chromodynamika při vysokých energiích [02AQCD],1,1
23,Aplikovaná lomová mechanika [D14ALM],1,1
24,Astrofyzika [12ASF],10,8
25,Asymptotické metody [01ASY],15,10
26,Atomová legislativa [17ALE],7,7
27,Bakalářská práce 2 [818BPSE2],10,5
28,Bezpečnostní sytémy jaderných reaktorů [17BES],14,11
29,Cvičení na simulátoru [17CSI],9,4
30,Chemie [15CHB],18,13
31,Chemie léčiv [15CHL1],5,4
32,Čeština pro cizince mírně pokročilí 2 [04CESM2],22,13
33,Dějiny fyziky 1 [818DEF1],10,7
34,Dějiny fyziky 2 [02DEF2],171,141
35,Dějiny matematiky [01DEM],11,5
36,Dekompozice databazových systémů [18DATS],39,34
37,Detekce ionizujícího záření [15DIZ],19,15
38,Detektory a principy detekce [02DPD],19,17
39,Detektory ionizujícího záření [16DETE],5,1
40,Detektory ionizujícího záření v radiologické fyzice [D16DIZF],2,0
41,Deterministické metody v reaktorové fyzice [17DERF],9,6
42,Diagnostika plazmatu [02DPLA],8,6
43,Diferenciální počet na varietách [01DPV],1,1
44,Diferenciální rovnice [01DIFR],32,22
45,"Diferenční rovnice, jejich aplikace a metody estimace [02DRME]",4,4
46,Difrakční metody strukturní biologie [11DMSB],2,2
47,Diskretní matematika 2 [01DIM2],59,31
48,Diskrétní matematika 2 [818DIM2],11,9
49,Dozimetrie a radioaktivita životního prostř. [16DRZP],11,11
50,Dynamika lineárních soustav [14DYLS],4,3
51,Dynamika reaktorů [17DYR],11,9
52,Ekonometrie [18EKONS],27,17
53,Ekonometrie [818EKON],10,4
54,Ekonomie pro techniky [00EKOT],38,33
55,Elastomechanika 1 [14EME1],4,1
56,Elektrodynamika 2 [12ELDY2],14,13
57,Elektronika experimentálních aparatur [11ELEA],1,0
58,Elektronová mikroskopie [14ELMI],1,1
59,Elektřina a magnetismus [02ELMA],220,93
60,Energetika a energetické zdroje [17EEZ],11,4
61,Evropský standard počítačové gramotnosti 1 [818ESPG1],10,8
62,Evropský standard počítačové gramotnosti 2 [18ESPG2],13,5
63,Exkurze [02EXK],10,10
64,Exkurze [16EX],19,19
65,Exkurze [17EXK],31,18
66,Exkurze v zahraničí [17EXZ],7,7
67,Exkurze 1 [15EXK1],18,15
68,Exkurze 2 [15EXK2],10,10
69,Experimentální fyzika 1 [02EXF1],120,111
70,Experimentální fyzika 3 [02EXF3],6,3
71,Experimentální metody subjaderné fyziky [02EMSF],10,9
72,Experimentální metody 2 [14EXM2],3,3
73,Experimentální neutronová fyzik [17ENF],9,7
74,Experimentální reaktorová fyzika [17ERF],8,7
75,Extrémní stavy hmoty [02ESH],2,2
76,Fázové přechody v PL [11FPPL],3,3
77,Fraktografie a analýza poruch [14FAP],7,7
78,Francouzština M2 [04FM2],18,13
79,Francouzština P2 [04FP2],5,5
80,Francouzština Z1 [04FZ1],19,10
81,Francouzština Z3 [04FZ3],10,9
82,Francouzština Z5 [04FZ5],14,14
83,Fulltextové systémy [18FULS],12,10
84,Funkcionální analýza 2 [01FA2],22,19
85,Funkcionální integrál 2 [02FCI2],2,2
86,Fyzika a lidské poznání [12FLP],20,18
87,Fyzika atomového jádra [02FAJ],10,10
88,Fyzika dielektrik [11DIEL],5,5
89,Fyzika kovů 2 [14FKO2],4,2
90,Fyzika laserů [12FLA],3,2
91,Fyzikální chemie 4 [15FCHN4],9,7
92,Fyzikální metalurgie 2 [14FYM2],4,1
93,Fyzikální optika 2 [12FOPT2],10,8
94,Fyzikální seminář 2 [02FYS2],22,6
95,Fyzika magnetických látek [11MAGN],3,3
96,Fyzika pevných látek [11FPL],1,0
97,Fyzika polovodičů 2 [11POL2],4,3
98,Fyzika povrchů 2 [11FYPO2],4,2
99,Fyzika 2 [02FYZ2],27,19
100,Fyzika 2 [802FYZ2],10,10
101,Fyzika 4 [12BFY4],4,0
102,Geometrická optika [12GEOP],6,6
103,Geometrické aspekty spektrální teorie [02SPEC],3,1
104,Geometrické metody fyziky 2 [02GMF2],4,4
105,Glykokonjugáty a Imunochemie [15GIMCH],2,0
106,Heuristické algoritmy [18HEUR],31,25
107,Instrumentální metody 1 [15INSN1],17,14
108,Integrující dozimetrické metody [16IDOZ],20,18
109,Intenzivní kurz češtiny pro zahraniční studenty anglický jazyk [04CZVAJ],18,14
110,Intenzivní kurz češtiny pro zahraniční studenty fonetika [04CZVCJF],18,17
111,Intenzivní kurz češtiny pro zahraniční studenty fyzika [04CZVFYZ2],18,17
112,Intenzivní kurz češtiny pro zahraniční studenty gramatika [04CZVCJG2],18,12
113,Intenzivní kurz češtiny pro zahraniční studenty konverzace [04CZVCJK],18,12
114,Intenzivní kurz češtiny pro zahraniční studenty matematika [04CZVMAT2],18,17
115,Internetová a počítačová gramotnost [12IPG],2,0
116,Jaderná a radiační fyzika 2 [16JRF2],5,3
117,Jaderná chemie 1 [15JACH1],10,4
118,Jaderná spektroskopie [02JSP],9,8
119,Jaderné reaktory [17JARE],24,17
120,Jaderný palivový cyklus [17JPC],10,8
121,Jazyková podpora bakalářské práce [04ABJP],8,4
