,name,enrolled,passed
0,Algebra [01ALG],42,20
1,Algebraické struktury v teoretické informatice [01ALTI],12,11
2,Analogová elektronika [11ANEL],2,1
3,Analytická chemie 2 [15ANAL2],14,7
4,Analýza experimentálních dat 1 [14AED1],3,1
5,Anglický jazyk 1 [818A1],12,10
6,Anglický jazyk 3 [818A3],1,1
7,Angličtina M1 [04AM1],59,39
8,Angličtina M3 [04AM3],56,35
9,Angličtina P1 [04AP1],80,76
10,Angličtina P3 [04AP3],81,76
11,Anorganická chemie 1 [15ANCH1],31,8
12,Aperiodické struktury 1 [01APST1],12,8
13,Aplikace ionizujícího záření v medicíně [16AIZM],1,1
14,Aplikace laserů [12APL],7,2
15,Aplikace neutronové difrakce [11AND],1,1
16,Aplikace radionuklidů 1 [15NUK1],8,7
17,Aplikace SQL [18SQL],38,15
18,Aplikace teorie grup ve FPL [11APLG],2,0
19,Aplikovaná ekonometrie a teorie časových řad [18AEK],20,15
20,Aplikovaná lomová mechanika [D14ALM],5,0
21,Asistivní technologie [01ASTE],2,0
22,Athens [00ATH1],0,0
23,Atomová a molekulová fyzika [02AMF],4,3
24,Atomová a molekulová spektroskopie [02AMS],2,2
25,Atomová fyzika [12AF],4,1
26,Bakalářská práce 1 [818BPSE1],9,1
27,Bayesovské principy ve statistice [01BAPS],11,8
28,Bezpečnostní sytémy jaderných reaktorů [17BES],3,0
29,Biochemie a farmakologie [16BAF],13,11
30,Business Intelligence [18BI],20,3
31,Coxeterovy grupy [02COX],1,1
32,Chemické aspekty pevných látek [11CHA],3,0
33,Chemie prostředí a radioekologie [15RAEK],11,7
34,Chemie provozu JE [15CHJE],6,4
35,Chemie radioaktivních prvků [15CHRP],2,1
36,Čeština pro cizince mírně pokročilí 1 [04CESM1],62,25
37,Čeština pro cizince mírně pokročilí 3 [04CESM3],23,21
38,Čeština pro cizince pokročilí 3 [04CESP3],0,0
39,Číslicové bezpečnostní systémy [17CIBS],8,2
40,Dějiny alchymie a chemie [15DALCH],3,0
41,Dějiny fyziky 1 [02DEF1],347,252
42,Detekce záření [17DEZ],26,23
43,Detektory [16DET],14,2
44,Diferenciální rovnice na počítači [12DRP],19,10
45,"Diferenciální rovnice, symetrie a grupy [02DRG]",9,3
46,Difrakční analýza mechanických napětí [11DAN],1,1
47,Diskretní matematika 1 [01DIM1],98,60
48,Diskrétní matematika 1 [818DIM1],13,10
49,Diskrétní matematika 3 [01DIM3],29,19
50,Dozimetrie a radiační ochrana [16DRH],18,13
51,Dozimetrie neutronů [16DNEU],4,2
52,Dráhový integrál [02DRI],2,0
53,Dynamické rozhodování [01DYRO],14,11
54,Dynamika kontinua [14DYKO],3,2
55,Ekonomické hodnocení JE [17EHJE],6,5
56,Elastomechanika 2 [14EME2],4,1
57,Elektrická zařízení jaderných elektráren [17ELZ],12,12
58,Elektrodynamika 1 [12ELDY1],18,14
59,Elektronika 3 [12EL3],5,2
60,Elementary Introduction to Graph Theory [01EIGR],17,10
61,Etika ve zdravotnictví [16EZ],5,4
62,Evropský standard počítačové gramotnosti 1 [18ESPG1],27,16
63,Exaktní metody při studiu památek [16EPAM],3,1
64,Exkurze na optické pracoviště [12EOP],5,4
65,Experimentální fyzika 2 [02EXF2],38,25
66,Experimentální metody jaderné fyziky [02EMJF],10,9
67,Experimentální metody 1 [14EXM1],3,2
68,Experimentální testy standardního modelu [02ETSM],1,0
69,Finanční a pojistná matematika [01FIMA],22,6
70,Francouzština M1 [04FM1],20,18
71,Francouzština M3 [04FM3],16,14
72,Francouzština P1 [04FP1],6,5
73,Francouzština P3 [04FP3],6,4
74,Francouzština Z2 [04FZ2],10,9
75,Francouzština Z4 [04FZ4],15,14
76,Funkce komplexní proměnné [01FKP],18,11
77,Funkce komplexní proměnné B [01FKPB],1,1
78,Funkcionální analýza 1 [01FA1],22,19
79,Funkcionální analýza 3 [01FA3],15,14
80,Funkcionální integrál 1 [02FCI1],2,2
81,Fyzika a technika neionizujícího záření [16FNEI],1,1
82,Fyzika detekce a detektory optického záření [12FDD],8,6
83,Fyzika inerciální fúze [12FIF],7,5
84,Fyzika jaderných reaktorů [17FAR],13,6
85,Fyzika kovů [11KOV],4,4
86,Fyzika kovů 1 [11FKO1],3,3
87,Fyzika laserového plazmatu [D12FLP],4,1
88,Fyzikální chemie 1 [15FCHN1],12,4
89,Fyzikální chemie 2 [15FCHN2],19,14
90,Fyzikální chemie 3 [15FCHN3],9,7
91,Fyzikální chemie 5 [15FCH5],5,0
92,Fyzikální metalurgie 1 [14FYM1],3,2
93,Fyzikální optika 1 [12FOPT1],9,7
94,Fyzikální seminář 1 [02FYS1],61,26
95,Fyzika pevných látek [11FYPL],13,8
96,Fyzika polovodičů 1 [11POL1],5,5
97,Fyzika povrchů 1 [11FYPO1],2,0
98,Fyzika tokamaků [02FT],6,4
99,Fyzika ultrarelativistických jaderných srážek [02RFTI],8,7
100,Fyzika vysokých hustot energie [12FVHE],5,4
101,Fyzika 1 [02FYZ1],63,21
102,Fyzika 1 [802FYZ1],12,10
103,Fyzika 3 [12BFY3],6,1
104,Generace ultrakrátkých impulzů [12UKP],6,5
105,Geometrická teorie diferenciálních rovnic [01GTDR],9,9
106,Geometrické metody fyziky 1 [02GMF1],9,8
107,Grupy a reprezentace [02GR],5,5
108,Historická a sociálně ekonomická hlediska fúze [02HSEF],5,5
109,Hydrochemie [15HCHE],1,0
110,Hydrologie a pedologie [15HYPE],1,0
111,Hygiena a epidemiologie [16HE],4,4
112,Informatika pro moderní fyziky [17IMF],7,5
113,Informatika ve zdravotnictví [16INZ],6,5
114,Informatika 0 [12INF0],6,1
115,Integrovaná optika [12INTO],14,12
116,Intenzivní kurz češtiny pro zahraniční studenty anglický jazyk [04CZVAJ1],18,10
117,Intenzivní kurz češtiny pro zahraniční studenty fonetika [04CZVCJF1],18,18
118,Intenzivní kurz češtiny pro zahraniční studenty fyzika [04CZVFYZ1],18,0
119,Intenzivní kurz češtiny pro zahraniční studenty gramatika [04CZVCJG1],18,17
120,Intenzivní kurz češtiny pro zahraniční studenty konverzace [04CZVCJK1],18,17
121,Intenzivní kurz češtiny pro zahraniční studenty matematika [04CZVMAT1],18,17
122,Interakce jaderného záření s látkou [02IJZ],23,20
123,ITER a doprovodný program [02ITER],6,5
124,Jaderná a radiační fyzika 1 [16JRF1],5,4
125,Jaderná astrofyzika [02JAS],13,10
126,Jaderná bezpečnost [17JBEZ],14,13
127,Jaderná chemie 2 [15JACH2],22,14
128,Jaderně energetická zařízení a urychlovače [16ZJTB],8,4
129,Klinická propedeutika [16KPR],26,15
130,Kohomologické metody v teoretické fyzice [02KOHOM],5,4
131,Kombinatorika a pravděpodobnost [01KAP],12,5
132,Koncepce informatické fyziky 1 [12KOF1],7,6
133,Kritický experiment [17KE],12,0
134,Krystalooptika [D12KO],3,0
135,Kultura a reálie anglofonních zemí a ČR 2 [04ABR2],11,10
136,Kvantová elektronika [12KVEN],16,10
137,Kvantová fyzika [02KF],24,9
138,Kvantová informace a komunikace [02KIK],8,8
139,Kvantová mechanika [02KVAN],56,39
140,Kvantová teorie pole 1 [02KTPE1],10,9
141,Kvantová teorie pole 1 [02KTP1],4,4
142,Kvantové grupy 1 [01KVGR1],1,1
143,Kvantový kroužek 1 [02KVK1],2,1
144,Laboratorní cvičení z fyziky 1 [02LCF1],5,0
145,Laboratorní praxe pro energetiky [17LAPE],9,0
146,Laboratorní technika [15LABT],28,14
147,Laboratoř z mikrobiologie [15LMB],5,3
148,Laserová technika 1 [12LT1],12,2
149,Laserové plazma jako zdroj záření a částic [12LPZ],2,2
150,Lékařská informatika pro techniky [16INZB],7,3
151,"Lineární algebra A 1, zkouška [01LALA]",235,36
152,"Lineární algebra B 1, zkouška [01LALB]",281,66
153,Lineární algebra 1 [01LAL],271,208
154,Lineární algebra 1 [818LI1],22,9
155,Lineární programování [01LIP],19,18
156,Lineární programování [818LPB],12,5
157,Lineární programování B [01LIPB],13,8
158,Logika pro matematiky [01LOM],1,0
159,Lomová mechanika 1 [14LME1],4,1
160,Magisterská angličtina 1 [04MGA1],10,0
161,Magnetické materiály [11MAM],1,1
162,Makroekonomie 1 [18MAK1],20,9
163,Makroekonomie 1 [818MAKE1],12,10
164,"Matematická analýza A 1, zkouška [01MANA]",244,34
165,Matematická analýza A3 [01MAA3],29,17
166,"Matematická analýza B 1, zkouška [01MANB]",296,56
167,Matematická analýza B 3 [818MAB3],10,2
168,Matematická analýza B3 [01MAB3],91,44
169,Matematická analýza 1 [01MAN],274,194
170,Matematická analýza 1 [818MA1],27,13
171,Matematická ekonomie 1 [18EKO1],45,11
172,Matematická ekonomie 1 [818ME1],22,10
173,Matematické metody a modelování [16MMM],2,1
174,Matematické metody v dynamice tekutin 1 [01MMDT1],6,5
175,Matematické minimum 1 [00MAM1],214,188
176,Matematické minimum 2 [00MAM2],128,44
